"Last Merchant Cleared Date","Advance Status",AdvanceID,"Merchant Name",Frequency,"Repayment Type","Draft Amount","Return Code","Return Date","Syn Gross Amount","Syn Net Amount","Syn Cleared Date","Syndicated Amt","Syndicate Purchase Price","Syndicate Net RTR Remain"
,In-Repayment,6525893,"Strategic Print Solutions, INC.",Weekly,ACH,$0.00,,,$0.00,$0.00,,"$10,000.00","$10,700.00","$13,095.00"
2024-02-05,In-Repayment,6031182,"Axispoint INC And Subsidiaries",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-08,"$10,000.00","$10,984.00","$8,606.33"
2024-02-02,In-Repayment,6467111,"Carolina Grading Service, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-07,"$7,000.00","$7,280.00","$7,129.50"
2024-02-05,In-Repayment,6401612,"Tresna Group Corporation",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-08,"$3,500.00","$3,920.00","$3,152.13"
2024-02-05,In-Repayment,6291282,"S1 Security Group Inc",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-08,"$7,000.00","$7,630.00","$4,786.96"
2024-02-06,In-Repayment,6498489,"Eclub Deals Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-09,"$6,000.00","$6,660.00","$7,011.17"
2024-02-02,In-Repayment,6012832,"Amany Convenience LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-07,"$4,000.00","$4,480.00","$2,034.42"
2024-02-08,In-Repayment,6418779,"CCBBQ Restaurant LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-13,"$7,000.00","$7,560.00","$6,637.23"
2024-02-06,In-Repayment,6354539,"Controlled Environments Construction, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-09,"$7,000.00","$7,840.00","$6,542.65"
2024-01-02,"Paid In Full",6142711,"McQueen Companies LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-01-05,"$9,000.00","$9,990.00",$0.00
2023-11-09,"Paid In Full",6016673,"D.A.O. Accounting, Consulting, and Taxation, Inc",Weekly,ACH,$0.00,,,$0.00,$0.00,2023-11-14,"$3,000.00","$3,360.00",$0.00
2024-01-31,"Paid In Full",6218166,"Acosta Angeli Construction INC.",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-05,"$8,000.00","$8,720.00",$0.00
2023-12-28,"Paid In Full",6121887,"Carolina Grading Service, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-01-03,"$7,000.00","$7,280.00",$0.00
2024-01-09,"Paid In Full",6003982,"Gorilla Gadgets, LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-01-12,"$7,000.00","$7,840.00",$0.00
2024-02-01,"Paid In Full",6162372,"ArtLog, Inc.",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-07,"$10,000.00","$11,200.00",$0.00
2024-01-31,"Paid In Full",6038646,"Certified Mailing Solutions, Inc.",Daily,ACH,$0.00,R01,2024-02-05,$0.00,$0.00,2024-02-06,"$7,000.00","$7,560.00",$0.00
2023-12-07,"Paid In Full",6150365,"JamBah Imports LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2023-12-12,"$3,000.00","$3,330.00",$0.02
2024-01-31,"Paid In Full",6236461,"Certified Mailing Solutions, Inc.",Daily,ACH,$0.00,R01,2024-02-05,$0.00,$0.00,2024-02-06,"$8,000.00","$8,800.00",$0.00
2023-11-29,"In Legal",5997374,"Lat-Depot LLC",Weekly,ACH,$0.00,R03,2024-01-16,$0.00,$0.00,2023-12-04,"$4,000.00","$4,472.00","$1,862.40"
2023-12-27,"In Legal",6439859,"Sotos Drywall Hanging And Finish Inc",Daily,ACH,$0.00,R02,2024-01-03,$0.00,$0.00,2024-01-02,"$5,000.00","$5,550.00","$6,731.11"
2024-01-12,"In Legal",6254495,"Integrated USA Systems, LLC",Daily,ACH,$0.00,R01,2024-02-06,$0.00,$0.00,2024-01-18,"$2,000.00","$2,160.00","$1,407.16"
2024-01-09,"In Legal",6240777,"Care At Home Private Care LLC",Daily,ACH,$0.00,R01,2024-01-19,$0.00,$0.00,2024-01-12,"$6,000.00","$6,720.00","$5,555.69"
2023-10-31,"Early Payoff",6121761,"Apex Industrial Facility Services LLC",Daily,ACH,$0.00,,,$0.00,$0.00,2023-11-03,"$6,000.00","$6,600.00",$207.86
2024-01-18,Settled,6007350,"M-Den, Inc.",Daily,ACH,$0.00,R29,2024-01-22,$0.00,$0.00,2024-01-24,"$7,000.00","$7,840.00","$1,709.79"
,,,,,,"$59,517.55",,,"$1,885.74","$1,829.18",,"$369,325.00","$403,971.06","$285,895.87"
